PRICEK,DSALE,BEDROOM,SQFTK,LN_LOTSIZE,CENTRALAIR,BRICK,GARAGE,FIREPLACE,BASE_FIN,MASONRY,PUBOPEN,MICHLAKE,LAKE_RIVER,METRA_DIST,RAIL_DIST
137.5000005,0,3,0.893,8.03106018,0,0,2,0,1,0,0,0,0,1.49801,0.20677
79.99999971,1,3,1.088,8.03915739,0,1,0,0,1,0,1,0,0,3.05638,0.1941
365.5000007,0,5,1.15,8.300528606,1,1,2,0,0,1,0,0,0,2.13873,0.85084
255.9999991,1,3,1.496,8.499843553,0,1,2,0,1,1,0,0,0,1.87168,1.03969
721.500002,0,4,2.132,7.783224016,1,1,2,1,0,1,1,0,0,0.8632,0.05104
176.9999997,0,4,1.392,8.383661799,0,1,1,1,1,0,0,0,0,0.87661,0.39791
517.9999994,0,4,1.421,8.644002038,1,1,2,1,1,1,0,0,0,1.37172,0.17601
317.9999994,0,3,1.989,8.15564927,1,1,2,1,1,1,0,0,0,0.48508,0.0484
147.9999996,0,3,1.088,7.583247524,0,1,1,0,0,1,1,0,0,0.31697,0.07829
206.9999995,1,3,1.097,8.03106018,1,0,0,0,1,0,0,0,0,0.78473,0.07481
142.5000002,0,5,1.075,8.452547998,1,1,2,0,0,1,0,0,0,0.56566,0.36083
880.0000031,0,5,2.8,8.047189562,1,0,2,4,1,0,0,1,0,1.96073,0.1589
114.0000003,0,2,0.964,8.229511119,0,0,2,0,1,0,0,0,0,1.14042,0.11281
104.0000002,0,4,1.14,8.047189562,1,1,2,0,1,1,0,0,0,4.01314,0.43115
126.0000005,0,4,0.7,8.153349758,0,0,2,0,0,0,0,0,0,0.64448,0.14152
261.9999993,0,4,1.092,8.229511119,1,1,2,0,1,1,0,0,0,3.80694,0.14603
189.9999998,0,7,1.213,8.047189562,0,1,2,0,1,1,0,0,0,1.2479,0.4899
72.49999994,0,4,0.72,8.221478947,1,0,2,0,0,0,1,0,0,2.23124,0.6552
384.9999987,0,4,1.682,8.386172929,1,1,2,2,0,1,0,0,0,1.05058,0.82464
74.99999981,1,3,1.127,8.124150603,0,0,0,0,1,0,0,0,0,0.71305,0.20915
200.0000009,0,3,1.195,8.047189562,0,1,2,0,0,1,1,0,0,3.79364,0.40387
400.0000016,0,4,2.504,8.738895705,1,1,2,1,0,1,0,0,0,1.19219,0.84764
386.0000006,0,4,0.963,8.229511119,1,1,2,0,0,1,0,0,0,1.13,0.83185
315.0000007,0,2,0.889,8.229511119,1,1,1,0,0,1,0,0,0,1.03955,0.71614
397.9999983,0,2,0.957,8.634976227,1,1,1,0,0,1,0,0,0,1.04001,0.73865
334.9999997,0,3,1.152,8.229511119,1,1,2,0,1,1,0,0,0,0.9608,0.77029
355.0000005,0,5,0.978,8.229511119,1,1,2,0,1,1,0,0,0,0.85439,0.55886
430.000001,0,3,1.28,8.550241045,1,1,2,2,0,1,0,0,0,0.79233,0.47698
345.9999986,0,3,1.07,8.229511119,1,0,2,0,0,1,0,0,0,0.86418,0.69382
425.0000009,0,3,1.044,8.538367427,1,1,2,1,0,1,0,0,0,0.79162,0.58195
349.9999988,0,4,1.048,8.626944055,1,1,2,1,0,1,0,0,0,0.73651,0.56319
390.0000007,0,4,1.37,8.229511119,1,1,2,0,0,1,0,0,0,1.16628,0.92283
359.9999998,0,3,1.2,8.229511119,1,1,2,0,0,1,0,0,0,1.23616,0.97472
365.9999991,0,2,1.258,8.634976227,1,0,2,2,0,1,0,0,0,1.21488,0.9799
310.0000011,0,4,1.017,8.415160466,1,1,2,2,1,1,0,0,0,1.18652,0.94759
359.9999998,0,4,1.017,8.415160466,1,1,2,2,1,1,0,0,0,1.18652,0.94759
384.9999987,0,3,1.128,8.517193191,1,1,2,0,0,1,0,0,0,1.3962,1.09854
400.0000016,0,3,1.105,8.229511119,1,1,2,0,1,1,0,0,0,1.48312,1.16101
355.0000005,0,2,1.046,8.229511119,1,1,2,0,0,1,0,0,0,1.41416,1.10313
449.9999992,0,3,0.91,8.411832676,1,1,2,0,1,0,0,0,0,1.4487,1.13364
99.9999995,0,4,1.357,8.634976227,1,1,2,0,1,1,0,0,0,1.36199,1.09306
356.0000001,0,3,1.069,8.229511119,1,1,2,0,0,1,0,0,0,1.46952,1.17187
431.5000002,0,3,1.069,8.229511119,1,1,2,0,0,1,0,0,0,1.46952,1.17187
321.9999985,0,3,1.07,8.229511119,0,1,2,0,1,1,0,0,0,1.52981,1.18759
361.9999997,0,3,1.069,8.229511119,1,1,2,0,0,1,0,0,0,1.44899,1.15558
310.0000011,0,2,1.164,8.376781038,1,1,1,0,1,1,0,0,0,1.50272,1.18138
10,0,3,1.142,8.229511119,1,0,2,0,1,1,0,0,0,1.00236,0.8251
590.0000024,0,4,2.672,8.634976227,1,1,3,0,0,1,0,0,0,1.03518,0.8191
345.0000014,0,3,1.07,8.634976227,1,1,2,0,1,1,0,0,0,1.01434,0.8026
390.0000007,0,2,1.076,8.43923165,1,1,2,0,1,1,0,0,0,1.02566,0.82933
511.9999979,0,5,2.094,8.740336743,1,1,2,0,0,1,0,0,0,1.1387,0.91379
345.0000014,0,4,1.244,8.740336743,1,1,2,1,0,1,0,0,0,1.16338,0.946
384.9999987,0,4,1.244,8.740336743,1,1,2,1,0,1,0,0,0,1.16338,0.946
369.9999983,0,3,1.047,8.583542572,1,1,1,0,0,1,0,0,0,1.3351,1.04914
358.0000017,0,3,2.456,8.565983356,1,1,1,0,0,1,0,0,0,1.24462,0.99978
516.5000013,0,4,1.662,8.229511119,1,1,2,0,0,1,0,0,0,1.39179,1.07498
353.0000014,0,2,0.911,8.229511119,1,1,2,0,1,1,0,0,0,1.29766,1.02574
433.0000013,0,3,0.984,8.229511119,0,1,2,0,0,1,0,0,0,0.93717,0.74862
357.4999996,0,3,1.07,8.229511119,1,1,2,0,0,1,0,0,0,0.84362,0.6994
490,0,4,1.89,8.491875383,1,1,2,0,1,1,0,0,0,0.93165,0.73708
384.9999987,0,4,1.398,8.383661799,1,1,2,0,0,1,0,0,0,1.0492,0.86439
449.9999992,0,3,1.609,8.634976227,1,1,2,2,0,1,0,0,0,1.0528,0.85819
559.9999985,0,4,2.017,7.718685495,1,1,2,1,0,1,0,0,0,1.14113,0.91772
559.9999985,0,3,2.017,7.718685495,1,0,2,0,0,1,0,0,0,1.14113,0.91772
351.9999984,0,2,0.958,8.229511119,1,1,2,0,0,1,0,0,0,1.21974,0.95948
364.9999991,0,3,1.07,8.229511119,1,1,2,0,0,1,0,0,0,0.74017,0.61719
319.9999985,0,3,1.07,8.229511119,1,1,2,0,1,1,0,0,0,0.83809,0.66579
386.9999992,1,3,1.562,8.383661799,1,1,2,0,1,1,0,0,0,0.81217,0.65004
465.9999986,0,4,1.403,8.720134035,1,1,1,0,1,1,0,0,0,0.88406,0.69229
384.9999987,0,3,1.334,8.50471567,1,1,3,0,1,1,0,0,0,0.74644,0.60452
364.0000012,0,3,1.083,8.634976227,1,1,2,0,1,0,0,0,0,1.04131,0.80685
379.9999994,0,4,1.446,8.411832676,1,1,2,1,0,1,0,0,0,1.01001,0.81365
374.9999981,0,2,0.967,8.411832676,1,1,2,0,0,1,0,0,0,0.99635,0.80273
394.9999985,0,3,1.066,8.425516403,1,1,2,0,0,1,0,0,0,1.07613,0.85611
10,0,4,2.366,9.072456665,1,0,2,0,0,1,0,0,0,0.59531,0.32089
435,0,3,1.275,8.794824928,0,0,2,2,0,0,0,0,0,0.49198,0.26016
349.9999988,0,3,1.196,8.283999304,0,1,2,0,0,1,0,0,0,0.59702,0.38879
340.0000012,0,4,1.999,9.058004711,0,0,2,2,0,1,0,0,0,0.54894,0.3722
451.0000007,0,4,1.913,8.168486417,1,1,1,1,1,0,0,0,0,0.3639,0.26433
412.9999992,0,3,1.145,8.571681377,1,1,4,0,0,1,0,0,0,0.63191,0.43812
410.0000005,0,3,1.404,8.741136423,1,1,2,0,1,0,0,0,0,0.66018,0.48104
